名称,经度,纬度
云南农业大学-图书馆,102.755488,25.135692
昆明理工大学津桥学院(空港校区)公共教学楼,103.005759,25.128631
云南师范大学文理学院4号学生公寓,103.005159,25.251065
云南大学滇池学院-图书馆,103.010866,25.236424
昆明市第二十四中学,102.683388,25.060277
昆明十中(求实校区),102.751003,25.119326
昆明市实验中学,102.728324,25.047958
昆明市官渡区第一中学,102.757355,24.958557
昆明市西山区实验中学,102.709145,25.02464
云南衡水实验中学(西山校区),102.708531,24.996525
云南师大附中呈贡校区,102.855745,24.854339
昆明市第三中学,102.84326,24.891176
昆明第一中学西山学校,102.652313,25.039751
云南师大附中,102.671361,25.063472
云南大学附属中学(呈贡校区),102.814152,24.888365
昆明八中,102.726217,25.100819
昆明第三中学经开区学校,102.835894,24.950259
昆明市官渡区职业高级中学,102.826703,24.99839
昆明市第九中学,102.69826,24.941509
晋宁区第三中学,102.603447,24.654413
二七一教育集团云南昌乐实验中学,102.690645,25.077076
昆明十二中学,102.737511,25.035597
安宁中学,102.468466,24.921896
昆明市盘龙区新迎中学(新迎路),102.746957,25.056791
昆明师范专科学校附属中学,102.693662,25.045737
达城中学,102.668659,25.07461
金岸中学(昆一中度假区分校),102.710211,24.974959
昆明市第十四中学,102.656504,25.07019
昆明市五华区云铜中学,102.68353,25.087225
昆明西南联大研究院附属学校,102.875609,24.836489
云南民大附中,102.70867,25.064071
官渡区矣六实验学校,102.765087,24.938036
昆明市官渡区第五中学,102.724082,25.035389
昆明市第十中学(白塔校区),102.733074,25.046309
云南省昆明市第十一中学,102.746464,25.074922
昆明市第十九中学,102.645877,25.036225
嵩阳一中,103.036529,25.348422
云大附中(星耀校区),102.772667,24.960751
昆明重工中学,102.734495,25.140816
云光中学,102.619398,24.789608
昆明经济技术开发区第三中学,102.839008,24.930792
云南长水外国语中学(滇池度假区学校),102.799675,24.824417
云南省华夏中等专业学校,102.679751,25.043965
昆明交通技工学校,102.635684,25.014868
云大附中(西林分校),102.757095,25.068356
寻甸县民族中学,103.26084,25.574143
宜良县第三中学,103.165228,24.928153
昆明三中空港实验学校,102.870925,25.032154
昆明高级技工学校,102.689861,25.075072
云南省电子信息高级技工学校,102.738084,25.065364
昆明市东川区汤丹中学,103.078278,26.183883
昆明市东川区第一中学,103.188742,26.110401
衡水实验中学补习学校,102.751684,25.018085
禄劝秀屏中学,102.492636,25.569782
白邑中学,102.882641,25.307988
禄劝第一中学,102.483496,25.566517
昆明长城中学(新城校区),102.67596,25.083853
倘甸镇初级中学,102.941119,25.795599
云南省建筑技工学校,102.773465,25.112005
西山团结中学民族中学,102.543916,25.082393
昆明经济技术开发区第二中学,102.829305,24.98954
昆明卫生职业学院(昆明校区),102.641494,25.083034
东村中学,102.679823,25.517917
禄劝则黑中学,102.688067,26.136632
禄劝屏山中学,102.472823,25.560831
昆明市煌达实验学校,102.649865,25.06895
东川区铜都中学,103.191027,26.068723
安宁市实验学校(宁湖分校),102.4591,24.928186
禄脿中学,102.274618,24.969672
嵩明县牛栏江镇第二初级中学,103.227919,25.314341
嵩明职业高级中学,103.063621,25.355178
仁德镇第二初级中学,103.260092,25.566078
耿家营民族中学,103.239119,25.030722
昆明黄冈实验学校,103.269109,25.51924
杨桥乡第二中学,103.052162,25.314954
翠华中学,102.588891,25.639055
寻甸三中,103.267504,25.518524
昆明现代科技学校,102.850495,24.998954
仁德一中,103.268446,25.573923
宜良县第八中学,103.193068,24.993927
宜良县九乡民族中学,103.390197,25.105455
先锋中学(先锋乡人民政府西南),103.011627,25.491514
河口中学,103.377318,25.646854
嵩阳三中(杨桥一中),103.060423,25.310098
杉木中学,103.063633,26.2639
昆明市海亦丰中学(嵩明办事处),103.034754,25.341244
昆明滇池中学,103.034196,25.348283
云南警官学院,102.697813,25.082211
昆明市盘龙区彩云中学,102.788262,25.349092
狗街第一中学,103.151793,24.788791
先锋中学(金刚街),102.760112,24.964072
寻甸回族彝族自治县塘子初级中学,103.270127,25.44925
凤仪中学,102.999557,25.839494
昆明卫生职业学院,102.631699,24.654939
昆明市官渡区第六中学南门,102.791431,24.962681
海青外国语实验学校,102.723696,24.999948
英豪实验学校,102.738123,25.049355
云南经济管理学院附属高级中学,102.438831,24.906843
汤郎中学,102.287757,26.19304
昆明冶金高等专科学校,102.447974,24.888503
昆明经济技术开发区锦绣学校,102.819201,24.988733
古城一中,103.195179,24.976819
建水实验中学(宜良办事处),103.146035,24.92689
夕阳乡民族中学,102.291649,24.46504
盘龙一中,102.721203,25.049916
云南中医药大学(白塔校区),102.73126,25.042751
山东二七一教育集团学校,102.688071,25.077395
昆旅职中,102.706369,25.043052
云南建投技工学校(东校区),103.063389,25.23594
昆明市化工技工学校(花箐村校区),102.927134,25.127435
昆明市女子职业学校,102.746023,25.055325
亨德森外国语学校(吴井路教学区),102.737911,25.027435
昆明机电工程学校(主城校区),102.644639,25.054641
云南烟草技工学校,102.750381,25.017967
嵩明县职业技校,103.044712,25.219542
高阳二中,103.060869,25.353931
元阳一中,102.730903,24.75026
红叶二中,102.757194,25.134329
杨紫微高中,102.718881,25.048807
昆明冶金高等专科学校(博方校区),102.665823,25.094514
亨德森外国语学校(银河大道教学区),102.738551,25.103417
昆明市盘龙区金实小学,102.740489,25.08036
昆明市官渡区云缨小学,102.839626,24.997931
云南师范大学附属昆明湖小学,102.773543,25.142923
昆明市五华区武成小学,102.709168,25.050415
明通小学,102.727137,25.046916
昆明市盘龙区盘龙小学映象校区(映象分校),102.756619,25.087798
昆明市官渡区云溪小学,102.756884,24.987555
万科春城小学,102.662411,25.062553
云波小学,102.752364,25.086542
昆明市盘龙区联盟小学,102.738358,25.070481
盘龙小学,102.732749,25.050047
海贝中英文小学,102.724924,25.007293
明通小学(丰江路校区),102.756918,25.099578
昆明市第一中学附属小学,102.665898,25.035486
文林小学,102.702243,25.057061
工人新村小学,102.708887,25.033962
西冲小学,102.878171,25.041937
云南师大附小呈贡校区,102.853255,24.855319
盘龙小学(滨江校区),102.72065,25.069378
棕树营小学(丹霞路),102.690432,25.044291
盘龙区新迎第一小学,102.748398,25.054844
红旗小学(布新校区),102.711102,25.042782
昆明市官渡区小板桥小学,102.784263,24.982331
官渡区关上第二小学,102.738986,25.003956
盘龙区园博小学(穿金路),102.742189,25.068124
南站小学,102.723885,25.033685
昆明经济技术开发区实验小学,102.849578,24.96196
中华小学(滇池星城校区),102.811036,24.861902
昆一中度假区分校·金岸中学(小学部),102.710389,24.975431
晓东小学,102.763143,24.997815
西坝小学,102.699578,25.039146
羊甫小学,102.798219,24.977314
高新第一小学(海源校区),102.652752,25.084926
求实小学,102.71176,25.02659
官渡区六甲第一小学,102.701957,24.966051
昆明市五华区云铜小学,102.683533,25.089015
昆明市官渡区曙光小学,102.746297,25.042159
昆明市官渡区董家湾小学,102.741438,25.04128
五华区先锋小学,102.705521,25.054914
前卫路小学,102.725006,25.032891
北大附中云南实验学校(小学部),102.721897,25.008454
昆明市西山区书林第二小学(西苑分校),102.687427,25.048022
昆明市五华区新闻路小学,102.702336,25.043647
昭宗小学,102.644211,25.059537
月家小学,103.041954,25.291001
明德小学(气象路步行街),102.692648,25.024286
昆明经济技术开发区第一小学,102.804147,24.997846
昆明市盘龙区金星中心小学,102.734166,25.08468
铜都镇中心学校尼拉姑小学,103.202397,26.089969
云南师范大学附属融创小学一二一校点,102.702587,25.060409
昆明市官渡区关上实验学校,102.750703,25.012423
两面寺小学,102.820877,25.039137
云桥小学,103.015357,25.147316
罗良小学,103.102887,25.241106
多宜甲向荣希望小学,102.694084,25.462464
嘉玲小学,103.134372,25.315459
东川区第三小学,103.185167,26.091138
厂口乡厂口小学,102.672942,25.250913
白邑乡三转弯小学,102.871968,25.389821
昆明市盘龙区落索坡小学,102.753358,25.132415
倘甸镇马街小学,102.931012,25.772081
昆明师专附小月牙塘校区,102.733083,25.101622
阿达龙小学,102.865184,25.420749
集义小学,103.194763,26.095807
甸心小学,103.115572,25.457027
豆黑小学,103.376155,24.689
石林彝族自治县清水塘小学,103.381419,24.779088
王四坝小学,103.084122,25.31097
金马村小学,102.858645,25.040434
嵩阳镇倚伴完全小学,103.06877,25.334782
禄劝县云龙小学,102.437239,25.851022
嵩明县白邑乡南营完全小学,102.887481,25.273757
陈家小学,102.723691,24.990629
仁德四小,103.279523,25.570918
长湖镇所各邑小学,103.384319,24.727345
碧谷小学,103.170081,26.122904
西山区城市希望小学,102.684819,25.040187
大坡完全小学,102.954465,25.28807
安家桥小学,103.190073,24.978975
宜良县山后小学,103.234743,24.937359
清远小学,102.924013,25.280767
古城小学,103.233317,25.336044
麦地庄小学,103.2776,24.787709
松坪小学,103.063644,26.331887
新沙小学,102.866827,25.492572
转龙小学,102.868042,25.907916
岩头小学,103.283602,25.872254
五华区武成小学教育集团分校,102.712647,25.082101
龙头小学,103.249539,25.946626
毛家坝和平希望小学,103.42108,25.517961
前卫小学,103.212124,25.176486
民权小学,102.736272,25.888528
竹箐小学,103.002258,25.453469
东村小学,103.027366,25.396569
老挖小学,103.42954,24.811447
新木凹小学,103.645116,24.849935
耿家营民族小学,103.276354,25.108614
陈家渡小学,103.177057,24.980072
皎平渡红军小学,102.458495,26.125538
新合小学,102.392105,25.98202
麦场完小,103.269615,25.474579
龙泉·武成小学壹方城校区,102.712813,25.081951
中共昆明盘龙区明通小学委员会,102.746405,25.086869
红山小学,102.941769,26.278063
兴隆小学,103.113473,25.751357
花箐小学,102.922795,25.127126
中屏昔南小学,102.614077,25.834238
书多小学,102.642161,25.831445
坪子小学,103.104158,26.06336
石林县鹿阜镇大哨小学,103.285137,24.897676
鹿阜镇卜所小学,103.27803,24.866267
板桥小学,102.358814,26.15073
没租哨小学,103.071296,25.508392
大村小学,102.661206,25.16655
翠华香江狮子会第一侨心小学,102.577889,25.616532
木树明小学,103.198808,26.056528
寻甸县河口镇双龙村完小,103.501199,25.727726
住基小学,102.703485,26.1131
白石岩小学,103.497633,25.799461
东海证券希望小学,103.257979,25.024591
磨腮完小,102.898477,25.484954
民航路第二小学,102.746053,25.030802
易隆小学,103.278323,25.381236
西中小学,102.87723,25.042128
石羊小学,103.195183,26.084959
昆明市官渡区小板桥镇中学,102.779213,24.98618
吴所完小,103.169669,25.50059
甜荍地回民完小,103.109022,25.477546
昆明市五华区麻园小学,102.679042,25.055861
苏海完小,102.877866,25.297563
长冲完小,103.157648,25.428158
矣得谷完小,103.15102,25.335301
羊毛冲完小,103.357958,25.743397
骂秧完小,102.930718,25.883374
海尾完小,103.119337,25.629854
木龙马村完小,102.935354,25.480436
昆明市第三人民医院(吴井路院区),102.73534,25.029233
昆明同仁医院,102.703403,24.982258
昆明市第一人民医院星耀医院,102.772662,24.958244
昆明市官渡区人民医院,102.758393,25.018052
昆明医科大学第一附属医院,102.699404,25.048749
昆明市延安医院,102.736624,25.048869
昆明市中医医院(呈贡院区),102.835181,24.870683
昆明市呈贡区人民医院,102.810465,24.897137
嵩明县第二人民医院,103.062786,25.247659
昆明市第一人民医院,102.721679,25.037029
昆明市经开人民医院,102.805665,25.000018
昆明市延安医院高新医院,102.656965,25.080776
云南省第一人民医院新昆华医院,102.580741,24.928288
云南大学附属医院,102.719852,25.054873
云南省中医医院,102.712739,25.046004
昆明云桥医院,102.894666,25.053926
云南圣约翰医院,102.686814,25.016572
昆明市西山区人民医院,102.650527,25.037314
安宁市第一人民医院(金方院区),102.498927,24.899553
昆明明珠医院,102.752657,25.037387
云南省第一人民医院,102.714012,25.03878
云南省第三人民医院,102.726117,25.034325
安宁市人民医院,102.48276,24.9258
云南平安中西医结合医院,102.705006,25.006861
昆明市中医医院(东风东路院区),102.72993,25.043991
中国人民解放军九六六〇二部队医院,102.750251,25.07781
云南博亚医院,102.68891,24.998824
昆明医科大学第一附属医院(呈贡医院),102.841605,24.895906
云南新新华医院,102.737386,25.077076
嵩明县人民医院,103.051727,25.343426
昆明市第二人民医院,102.740151,25.139984
五华区人民医院,102.704312,25.053559
昆明高新医院,102.65914,25.067112
云南仁爱医院,102.715132,25.073277
红云医院,102.73014,25.114562
昆明欣海医院,102.738128,24.996491
宜良县第一人民医院,103.157964,24.918667
昆明杏德医院,102.785771,25.010804
昆明市中医医院(关上院区),102.748669,25.019634
云南省中医院(滇池院区),102.717866,24.984596
云南瑞奇德医院,102.742575,25.092158
武警云南省公安边防总队医院,102.692121,25.034342
朝阳医院官科,102.785415,24.945019
立云医院,102.875893,25.035233
云南省第一人民医院昆明理工大学医院,102.701787,25.068609
东方医院,102.74014,25.003393
昆明霍普禾森医院,102.668978,25.077675
云南多乐康医院,102.760535,24.966124
昆明市五华区人民医院(新院区),102.677018,25.096303
昆明云医大医院,102.6846,25.050564
昆明友谊医院,102.728091,25.049159
昆明福德医院,102.720322,24.967279
昆明圣民医院,102.681843,25.090679
普济医院,102.684232,25.089163
东川区人民医院,103.201271,26.082657
昆明医科大学第二附属医院,102.688291,25.059617
昆明安琪儿妇产医院,102.695996,25.059078
昆明凯耀医院,102.67588,25.06531
昆明医科大学第二附属医院海口医院,102.611413,24.790116
云南协华医院,102.736237,25.080065
圣爱中医院(滇池路店),102.677423,25.006767
云南省阜外心血管病医院,102.665457,25.105624
昆明市妇幼保健院,102.695386,25.045788
昆明仁华医院,102.696209,25.06008
昆明城东医院,102.799371,24.899777
昆明医科大学第一附属(云大)医院云南省第三人民医院联盟医院,102.730973,25.030519
昆明景洲医院,102.737324,25.091157
宜良县第二人民医院,103.158062,24.930922
盘龙区人民医院,102.755099,25.077112
昆明中伯中医医院,102.702598,25.051637
云纺医院,102.718116,25.026249
昆明医科大学第一附属医院健康管理中心,102.700709,25.054985
昆明三一一医院,102.700953,25.03772
官渡区人民医院(新院区),102.763186,25.012575
嵩明县中医院,103.031743,25.344726
西山区第三人民医院,102.544776,24.800272
昆明市官渡区仁和医院,102.779414,24.981336
昆明市第二人民医院(虹山分院),102.683802,25.065531
官渡古镇云瑞医院,102.747799,24.950207
解放军第四七八医院,102.74897,25.013771
昆明市儿童医院南市区医院-门诊部,102.713551,24.995216
昆明市第一人民医院甘美医院-住院部,102.74291,25.098567
碧鸡医院,102.624131,24.999599
云南省第一人民医院-门诊部,102.714328,25.038749
昆明民利医院,102.930296,25.783856
昆药医院,102.648994,25.048885
寻甸五洲医院,103.264439,25.555037
宜良县中医医院,103.150396,24.920269
云兰医院,102.834768,25.00061
昆明国防医院,102.691521,25.034289
富民西华医院,102.508279,25.230701
禄劝彝族苗族自治县第一人民医院(屏山分院),102.474691,25.566809
昆明市盘龙区中医院,102.732793,25.069952
云南怡园康复医院,102.684368,25.022516
禄劝益康医院,102.475366,25.561912
安宁仁济医院,102.36614,24.663468
安宁市中医医院(旧),102.487172,24.926796
昆明医学康复医院,102.700642,25.050818
寻甸仁泽医院,103.126623,25.440453
嵩明珍爱医院,103.047477,25.337723
云南省残疾人康复中心,102.697641,25.03432
寻甸县中医医院,103.281921,25.556443
